id,replyTo,created,author,text
ff3aca7f-2e22-40d0-8192-41c83e75634a,,2008-04-12 13:59:16,EE,"Hai guuuuys, lets here ur evidencez"
df3b328c-c3b1-462a-99f1-c5a392effd25,,2008-04-12 13:59:30,S2,"Lied initially in interviews"
1b582012-73b9-46b6-bc75-1e9e615713ea,,2008-04-12 13:59:48,EE,"Lied and didn't fess up."
30e1f5a2-2c1a-4e9b-b808-6032ed0ff3f7,,2008-04-12 13:59:55,S2,"Fingerprints on discarded crowbar"
5f1a198c-8377-4499-9913-120b569a6dae,df3b328c-c3b1-462a-99f1-c5a392effd25,2008-04-12 14:00:11,EE,"Plays "ball" => good kid"
6f7b23f8-1094-49dd-b8e3-371eaefd2065,1b582012-73b9-46b6-bc75-1e9e615713ea,2008-04-12 14:00:15,S2,"lied about what?"
e5daac62-4453-48e5-998b-03e97293129d,df3b328c-c3b1-462a-99f1-c5a392effd25,2008-04-12 14:00:16,ME,"Could have just not wanted to be associated"
c7e47efa-dd99-4f35-b689-3b8fdefeaf3f,1b582012-73b9-46b6-bc75-1e9e615713ea,2008-04-12 14:00:53,EE,"Said he heard billys truck, cant hear.  needs hearing aid, wasnt even wearing it. was working 200 yards away."
db466c50-7b71-414e-8efe-8df572e7d18d,,2008-04-12 14:00:56,ME,"Seems to have no motive"
b11c2cb9-1749-4c39-98f6-1f691f776987,c7e47efa-dd99-4f35-b689-3b8fdefeaf3f,2008-04-12 14:01:18,ME,"Ooooo! I didn't know that!"
ffb9c335-3eba-445a-a014-272a3680a4cc,df3b328c-c3b1-462a-99f1-c5a392effd25,2008-04-12 14:01:26,S1,"could have been trying to hide his gambling addiction, by lying, and also to hide his apparent guilt. but he did lie A LOT"
02323f6a-4584-4f51-96c6-90a6f15e16ed,db466c50-7b71-414e-8efe-8df572e7d18d,2008-04-12 14:01:33,EE,"Daughter got....buggered?"
a98203b9-004a-413b-9d6a-42e5438a02b7,,2008-04-12 14:01:40,S1,"no motive...?"
9fc3ccda-f3b3-44d0-9812-cb97e55f9cb4,,2008-04-12 14:01:57,BE,"he was there, picked up thecrowbar and then ran. kinda guilty sounding
"
62f5951e-2eee-47ff-b696-7517ccb57268,a98203b9-004a-413b-9d6a-42e5438a02b7,2008-04-12 14:02:10,ME,"Money, which is pretty weak"
